dataset,task,n,model,target,cfg_source,flash_bytes,ram_bytes,insns_per_inf,latency_us,determinism_insns,n_test,n_correct,explain_insns_per_inf,explain_latency_us,explain_agree,params
churn,bin,5000,RF-20,cortex-m0,recovered,6308,0,832.6882324,17.34767151,37,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
churn,bin,5000,RF-20,cortex-m4f,recovered,5314,0,601.3125,6.013125,21,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
churn,bin,5000,RF-40,cortex-m0,recovered,18648,0,1630.375732,33.96616109,277,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
churn,bin,5000,RF-40,cortex-m4f,recovered,15570,0,1205.9375,12.059375,176,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
churn,bin,5000,LinearSVM,cortex-m0,recovered,192,0,5608.500488,116.8437602,180,16,16,,,,"{""C"": 0.1}"
churn,bin,5000,LinearSVM,cortex-m4f,recovered,184,0,178.3127441,1.783127441,0,16,16,,,,"{""C"": 0.1}"
churn,bin,5000,LogReg,cortex-m0,recovered,192,0,5616.000488,117.0000102,263,16,16,,,,"{""C"": 100}"
churn,bin,5000,LogReg,cortex-m4f,recovered,184,0,178.3127441,1.783127441,0,16,16,,,,"{""C"": 100}"
churn,bin,5000,GaussianNB,cortex-m0,recovered,688,0,33797.68799,704.1184998,170,16,16,,,,"{""var_smoothing"": 1e-09}"
churn,bin,5000,GaussianNB,cortex-m4f,recovered,672,0,606.3125,6.063125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
jm1,bin,10885,DTree-d3,cortex-m0,recovered,174,0,83.93847656,1.748718262,9,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
jm1,bin,10885,DTree-d3,cortex-m4f,recovered,152,0,33.4375,0.334375,6,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
jm1,bin,10885,DTree-d6,cortex-m0,recovered,534,0,107.3759766,2.236999512,16,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
jm1,bin,10885,DTree-d6,cortex-m4f,recovered,458,0,49.1875,0.491875,8,16,16,,,,"{""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
jm1,bin,10885,RF-20,cortex-m0,recovered,4912,0,726.1884766,15.1289266,225,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 20}"
