dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
bank-marketing,bin,45211,51,DecisionTree,default,2,0.8501377287641674,0.9005308560053086,0.0554845333099365,0.0309770124672103,31,"{""max_depth"": 4}"
bank-marketing,bin,45211,51,DecisionTree,tuned,2,0.8601575746813513,0.8986728599867286,0.0811102390289306,0.036498451359476,123,"{""max_depth"": 6, ""min_samples_leaf"": 1, ""ccp_alpha"": 0.0}"
bank-marketing,bin,45211,51,RandomForest,default,2,0.929002391748661,0.9036496350364964,1.1715326309204102,5.078236631154223,1811788,"{""n_estimators"": 300}"
bank-marketing,bin,45211,51,RandomForest,tuned,2,0.9313837398345568,0.9049767750497676,2.455218315124512,5.250413764290408,804364,"{""n_estimators"": 400, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""max_depth"": null}"
bank-marketing,bin,45211,51,HistGB,default,2,0.9355152404444608,0.9072329130723292,0.4271013736724853,1.9468846665998127,3100,{}
bank-marketing,bin,45211,51,HistGB,tuned,2,0.935412215074858,0.907564698075647,1.7042889595031738,6.74773623157038,18270,"{""learning_rate"": 0.03, ""max_iter"": 300, ""max_leaf_nodes"": 63, ""l2_regularization"": 1.0, ""min_samples_leaf"": 10}"
bank-marketing,bin,45211,51,XGBoost,default,2,0.934415081243198,0.9090245520902456,0.324138879776001,0.7237989378829784,11607,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
bank-marketing,bin,45211,51,XGBoost,tuned,2,0.9369240921267604,0.9097544790975448,0.9747061729431152,2.32496875441462,26550,"{""n_estimators"": 1000, ""learning_rate"": 0.03, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5, ""min_child_weight"": 5}"
bank-marketing,bin,45211,51,EBM,default,2,0.9169023455470896,0.9049104180491042,7.780245304107666,0.2665953202681108,2679,{}
bank-marketing,bin,45211,51,EBM,tuned,2,0.9172858028184792,0.9045786330457865,13.645299196243286,0.2834918725229527,704,"{""max_bins"": 128, ""learning_rate"": 0.005, ""max_rounds"": 2000, ""min_samples_leaf"": 2}"
bank-marketing,bin,45211,51,GA2M,default,2,0.9291370450968512,0.9064366290643664,12.116292715072632,0.3366495650100961,7235,"{""interactions"": 10}"
bank-marketing,bin,45211,51,GA2M,tuned,2,0.9320752928326697,0.9090245520902456,28.2014639377594,0.4488344451965049,7151,"{""interactions"": 20, ""max_bins"": 256, ""learning_rate"": 0.005}"
bank-marketing,bin,45211,51,RuleFit,default,2,0.9082152225119938,0.8974120769741207,9.34687328338623,2.772790672135179,108,"{""max_rules"": 60}"
bank-marketing,bin,45211,51,RuleFit,tuned,2,0.91084136774213,0.8973457199734572,8.989830493927002,2.468383778937225,94,"{""max_rules"": 60, ""tree_size"": 3}"
bank-marketing,bin,45211,51,FIGS,default,2,0.8892278429705817,0.9035832780358328,0.6842377185821533,2.8497902225324783,20,"{""max_rules"": 20}"
bank-marketing,bin,45211,51,FIGS,tuned,2,0.8850752641458371,0.894293297942933,1.7818636894226074,3.175143777889057,40,"{""max_rules"": 40}"
bank-marketing,bin,45211,51,L1-GAM,default,2,0.8644747085078963,0.8877903118779031,0.7668697834014893,1.4492274121725566,60,{}
bank-marketing,bin,45211,51,L1-GAM,tuned,2,0.8641913354598532,0.8873258128732582,0.732806921005249,1.515753631490544,62,"{""C"": 0.1, ""n_bins"": 16}"
electricity,bin,45312,14,LogReg,default,0,0.8288291299622002,0.7629104872881356,0.1220510005950927,0.0173794263500278,15,{}
electricity,bin,45312,14,LogReg,tuned,0,0.8288285917044833,0.762844279661017,0.1218574047088623,0.0158324837684631,15,"{""C"": 100}"
